,date,reproduction_rate,new_tests_smoothed,positive_rate,new_vaccinations_smoothed,stringency_index,new_cases_smoothed
0,2020-01-06,0.34,1121.0,0.0021,0.0,0.0,0.0
1,2020-01-07,0.34,1121.0,0.0021,0.0,0.0,0.0
2,2020-01-08,0.34,1121.0,0.0021,0.0,0.0,0.0
3,2020-01-09,0.34,1121.0,0.0021,0.0,0.0,0.0
4,2020-01-10,0.34,1121.0,0.0021,0.0,0.0,0.0
5,2020-01-11,0.34,1121.0,0.0021,0.0,0.0,0.0
6,2020-01-12,0.34,1121.0,0.0021,0.0,0.0,0.0
7,2020-01-13,0.34,1121.0,0.0021,0.0,0.0,0.0
8,2020-01-14,0.34,1121.0,0.0021,0.0,0.0,0.0
9,2020-01-15,0.34,1121.0,0.0021,0.0,0.0,0.0
10,2020-01-16,0.34,1121.0,0.0021,0.0,0.0,0.0
11,2020-01-17,0.34,1121.0,0.0021,0.0,0.0,0.0
12,2020-01-18,0.34,1121.0,0.0021,0.0,0.0,0.0
13,2020-01-19,0.34,1121.0,0.0021,0.0,0.0,0.0
14,2020-01-20,0.34,1121.0,0.0021,0.0,0.0,0.0
15,2020-01-21,0.34,1121.0,0.0021,0.0,0.0,0.0
16,2020-01-22,0.34,1121.0,0.0021,0.0,0.0,0.0
17,2020-01-23,0.34,1121.0,0.0021,0.0,0.0,0.0
18,2020-01-24,0.34,1121.0,0.0021,0.0,0.0,0.0
19,2020-01-25,0.34,1121.0,0.0021,0.0,5.56,0.0
20,2020-01-26,0.34,1121.0,0.0021,0.0,10.19,0.0
21,2020-01-27,0.34,1121.0,0.0021,0.0,10.19,0.0
22,2020-01-28,0.34,1121.0,0.0021,0.0,10.19,0.0
23,2020-01-29,0.34,1121.0,0.0021,0.0,10.19,0.0
24,2020-01-30,0.34,1121.0,0.0021,0.0,10.19,0.0
25,2020-01-31,0.34,1121.0,0.0021,0.0,10.19,0.0
26,2020-02-01,0.34,1121.0,0.0021,0.0,10.19,0.0
27,2020-02-02,0.34,1121.0,0.0021,0.0,10.19,0.286
28,2020-02-03,0.34,1121.0,0.0021,0.0,10.19,0.286
29,2020-02-04,0.34,1121.0,0.0021,0.0,10.19,0.286
30,2020-02-05,0.34,1121.0,0.0021,0.0,10.19,0.286
31,2020-02-06,0.34,1121.0,0.0021,0.0,10.19,0.286
32,2020-02-07,0.34,1121.0,0.0021,0.0,10.19,0.286
33,2020-02-08,0.34,1121.0,0.0021,0.0,10.19,0.286
34,2020-02-09,0.34,1121.0,0.0021,0.0,10.19,0.714
35,2020-02-10,0.34,1121.0,0.0021,0.0,10.19,0.714
36,2020-02-11,0.34,1121.0,0.0021,0.0,10.19,0.714
37,2020-02-12,0.34,1121.0,0.0021,0.0,10.19,0.714
38,2020-02-13,0.34,1121.0,0.0021,0.0,10.19,0.714
39,2020-02-14,0.34,1121.0,0.0021,0.0,10.19,0.714
40,2020-02-15,0.34,1121.0,0.0021,0.0,10.19,0.714
41,2020-02-16,0.34,1121.0,0.0021,0.0,10.19,0.0
42,2020-02-17,0.34,1121.0,0.0021,0.0,10.19,0.0
43,2020-02-18,0.34,1121.0,0.0021,0.0,10.19,0.0
44,2020-02-19,0.34,1121.0,0.0021,0.0,10.19,0.0
45,2020-02-20,0.34,1121.0,0.0021,0.0,10.19,0.0
46,2020-02-21,0.34,1121.0,0.0021,0.0,10.19,0.0
47,2020-02-22,0.34,1121.0,0.0021,0.0,10.19,0.0
48,2020-02-23,0.34,1121.0,0.0021,0.0,10.19,0.0
49,2020-02-24,0.34,1121.0,0.0021,0.0,10.19,0.0
50,2020-02-25,0.34,1121.0,0.0021,0.0,10.19,0.0
51,2020-02-26,0.34,1121.0,0.0021,0.0,10.19,0.0
52,2020-02-27,0.34,1121.0,0.0021,0.0,10.19,0.0
53,2020-02-28,0.34,1121.0,0.0021,0.0,10.19,0.0
54,2020-02-29,0.34,1121.0,0.0021,0.0,10.19,0.0
55,2020-03-01,0.34,1121.0,0.0021,0.0,10.19,0.0
56,2020-03-02,0.34,1121.0,0.0021,0.0,10.19,0.0
57,2020-03-03,0.34,1121.0,0.0021,0.0,10.19,0.0
58,2020-03-04,0.34,1121.0,0.0021,0.0,10.19,0.0
59,2020-03-05,0.34,1121.0,0.0021,0.0,26.85,0.0
60,2020-03-06,0.34,1121.0,0.0021,0.0,26.85,0.0
61,2020-03-07,0.34,1121.0,0.0021,0.0,26.85,0.0
62,2020-03-08,0.34,1121.0,0.0021,0.0,26.85,4.571
63,2020-03-09,0.34,1121.0,0.0021,0.0,26.85,4.571
64,2020-03-10,0.34,1121.0,0.0021,0.0,26.85,4.571
65,2020-03-11,0.34,1121.0,0.0021,0.0,26.85,4.571
66,2020-03-12,0.34,1121.0,0.0021,0.0,26.85,4.571
67,2020-03-13,0.34,1121.0,0.0021,0.0,41.67,4.571
68,2020-03-14,0.34,1121.0,0.0021,0.0,41.67,4.571
69,2020-03-15,1.56,1121.0,0.0021,0.0,44.44,9.714
70,2020-03-16,1.58,1121.0,0.0021,0.0,44.44,9.714
71,2020-03-17,1.72,1121.0,0.0021,0.0,44.44,9.714
72,2020-03-18,1.83,1121.0,0.0021,0.0,44.44,9.714
73,2020-03-19,2.04,1121.0,0.0021,0.0,44.44,9.714
74,2020-03-20,2.19,1125.0,0.0206,0.0,44.44,9.714
75,2020-03-21,2.28,1125.0,0.029,0.0,44.44,9.714
76,2020-03-22,2.26,1121.0,0.0361,0.0,100.0,36.143
77,2020-03-23,2.2,1462.0,0.0371,0.0,86.57,36.143
78,2020-03-24,2.11,1295.0,0.0435,0.0,86.57,36.143
79,2020-03-25,2.09,1717.0,0.0417,0.0,100.0,36.143
80,2020-03-26,2.06,1871.0,0.0407,0.0,100.0,36.143
81,2020-03-27,2.1,1902.0,0.0483,0.0,100.0,36.143
82,2020-03-28,2.07,2195.0,0.0428,0.0,100.0,36.143
83,2020-03-29,2.13,2492.0,0.036,0.0,100.0,88.429
84,2020-03-30,2.3,2445.0,0.0439,0.0,100.0,88.429
85,2020-03-31,2.44,2905.0,0.0423,0.0,100.0,88.429
86,2020-04-01,2.59,2776.0,0.069,0.0,100.0,88.429
87,2020-04-02,2.47,3076.0,0.0843,0.0,100.0,88.429
88,2020-04-03,2.29,5937.0,0.0404,0.0,100.0,88.429
89,2020-04-04,2.28,6984.0,0.0429,0.0,100.0,88.429
90,2020-04-05,2.27,7870.0,0.0465,0.0,100.0,342.143
91,2020-04-06,2.23,9036.0,0.0558,0.0,100.0,342.143
92,2020-04-07,2.06,10403.0,0.0537,0.0,100.0,342.143
93,2020-04-08,1.9,11906.0,0.047,0.0,100.0,342.143
94,2020-04-09,1.83,13851.0,0.0431,0.0,100.0,342.143
95,2020-04-10,1.77,13155.0,0.0546,0.0,100.0,342.143
96,2020-04-11,1.69,14203.0,0.054,0.0,100.0,342.143
97,2020-04-12,1.63,15173.0,0.0529,0.0,100.0,711.714
98,2020-04-13,1.59,16641.0,0.0487,0.0,100.0,711.714
99,2020-04-14,1.55,18697.0,0.0472,0.0,100.0,711.714
100,2020-04-15,1.48,20954.0,0.0437,0.0,100.0,711.714
101,2020-04-16,1.46,22578.0,0.0424,0.0,100.0,711.714
102,2020-04-17,1.46,24828.0,0.0389,0.0,100.0,711.714
103,2020-04-18,1.46,27536.0,0.0377,0.0,100.0,711.714
104,2020-04-19,1.46,29405.0,0.0409,0.0,100.0,1050.857
105,2020-04-20,1.4,30650.0,0.0377,0.0,96.3,1050.857
106,2020-04-21,1.39,31104.0,0.0395,0.0,96.3,1050.857
107,2020-04-22,1.36,29569.0,0.0437,0.0,96.3,1050.857
108,2020-04-23,1.36,28227.0,0.0488,0.0,96.3,1050.857
109,2020-04-24,1.34,29524.0,0.0492,0.0,96.3,1050.857
110,2020-04-25,1.33,29691.0,0.0508,0.0,96.3,1050.857
111,2020-04-26,1.32,31960.0,0.0459,0.0,96.3,1540.571
112,2020-04-27,1.31,33388.0,0.0467,0.0,96.3,1540.571
113,2020-04-28,1.33,36302.0,0.0442,0.0,96.3,1540.571
114,2020-04-29,1.34,41312.0,0.0404,0.0,96.3,1540.571
115,2020-04-30,1.37,47094.0,0.0358,0.0,96.3,1540.571
116,2020-05-01,1.42,51552.0,0.0353,0.0,96.3,1540.571
117,2020-05-02,1.44,56629.0,0.0338,0.0,96.3,1540.571
118,2020-05-03,1.47,60163.0,0.0347,0.0,96.3,1926.286
119,2020-05-04,1.49,63059.0,0.0385,0.0,81.94,1926.286
120,2020-05-05,1.46,67888.0,0.038,0.0,81.94,1926.286
121,2020-05-06,1.43,72288.0,0.0394,0.0,81.94,1926.286
122,2020-05-07,1.39,75316.0,0.0408,0.0,81.94,1926.286
123,2020-05-08,1.36,76448.0,0.0419,0.0,81.94,1926.286
124,2020-05-09,1.34,78121.0,0.0423,0.0,81.94,1926.286
125,2020-05-10,1.33,80370.0,0.0438,0.0,81.94,3279.857
126,2020-05-11,1.3,80922.0,0.043,0.0,81.94,3279.857
127,2020-05-12,1.29,81090.0,0.0439,0.0,81.94,3279.857
128,2020-05-13,1.28,82496.0,0.0434,0.0,81.94,3279.857
129,2020-05-14,1.28,84233.0,0.0435,0.0,81.94,3279.857
130,2020-05-15,1.29,86023.0,0.0433,0.0,81.94,3279.857
131,2020-05-16,1.31,87295.0,0.0456,0.0,81.94,3279.857
132,2020-05-17,1.32,88372.0,0.0461,0.0,81.94,3998.286
133,2020-05-18,1.33,89872.0,0.047,0.0,81.94,3998.286
134,2020-05-19,1.35,92098.0,0.0499,0.0,81.94,3998.286
135,2020-05-20,1.34,94020.0,0.0516,0.0,81.94,3998.286
136,2020-05-21,1.34,95554.0,0.0542,0.0,81.94,3998.286
137,2020-05-22,1.33,97069.0,0.0574,0.0,81.94,3998.286
138,2020-05-23,1.31,100074.0,0.0582,0.0,81.94,3998.286
139,2020-05-24,1.29,102254.0,0.0598,0.0,81.94,5848.714
140,2020-05-25,1.28,104400.0,0.0611,0.0,81.94,5848.714
141,2020-05-26,1.26,103122.0,0.0614,0.0,81.94,5848.714
142,2020-05-27,1.26,104253.0,0.0631,0.0,81.94,5848.714
143,2020-05-28,1.26,106602.0,0.0632,0.0,81.94,5848.714
144,2020-05-29,1.26,109201.0,0.0637,0.0,81.94,5848.714
145,2020-05-30,1.26,110972.0,0.0649,0.0,81.94,5848.714
146,2020-05-31,1.26,113372.0,0.0656,0.0,81.94,7182.143
147,2020-06-01,1.25,114802.0,0.0665,0.0,87.5,7182.143
148,2020-06-02,1.25,119994.0,0.0671,0.0,87.5,7182.143
149,2020-06-03,1.25,123010.0,0.0682,0.0,87.5,7182.143
150,2020-06-04,1.24,125797.0,0.0696,0.0,87.5,7182.143
151,2020-06-05,1.22,128934.0,0.0695,0.0,87.5,7182.143
152,2020-06-06,1.21,130388.0,0.071,0.0,87.5,7182.143
153,2020-06-07,1.2,132766.0,0.072,0.0,87.5,9212.143
154,2020-06-08,1.19,133890.0,0.0721,0.0,87.5,9212.143
155,2020-06-09,1.18,135720.0,0.0726,0.0,87.5,9212.143
156,2020-06-10,1.18,136871.0,0.0728,0.0,87.5,9212.143
157,2020-06-11,1.18,138632.0,0.073,0.0,87.5,9212.143
158,2020-06-12,1.18,139581.0,0.0745,0.0,87.5,9212.143
159,2020-06-13,1.17,140409.0,0.0756,0.0,87.5,9212.143
160,2020-06-14,1.17,141747.0,0.0755,0.0,87.5,10613.429
161,2020-06-15,1.18,142814.0,0.0772,0.0,87.5,10613.429
162,2020-06-16,1.19,143565.0,0.0775,0.0,87.5,10613.429
163,2020-06-17,1.2,146132.0,0.0785,0.0,87.5,10613.429
164,2020-06-18,1.21,148075.0,0.0801,0.0,87.5,10613.429
165,2020-06-19,1.22,151883.0,0.0809,0.0,87.5,10613.429
166,2020-06-20,1.23,158473.0,0.0807,0.0,87.5,10613.429
167,2020-06-21,1.24,164087.0,0.0808,0.0,87.5,12791.286
168,2020-06-22,1.24,168051.0,0.0826,0.0,87.5,12791.286
169,2020-06-23,1.24,173807.0,0.0839,0.0,87.5,12791.286
170,2020-06-24,1.24,181236.0,0.0837,0.0,87.5,12791.286
171,2020-06-25,1.24,187302.0,0.0838,0.0,87.5,12791.286
172,2020-06-26,1.24,192800.0,0.0844,0.0,87.5,12791.286
173,2020-06-27,1.24,197173.0,0.0858,0.0,87.5,12791.286
174,2020-06-28,1.23,202939.0,0.0866,0.0,87.5,16914.0
175,2020-06-29,1.23,206838.0,0.0875,0.0,87.5,16914.0
176,2020-06-30,1.22,210134.0,0.0879,0.0,87.5,16914.0
177,2020-07-01,1.21,210525.0,0.0893,0.0,87.5,16914.0
178,2020-07-02,1.21,213627.0,0.0904,0.0,87.5,16914.0
179,2020-07-03,1.22,217360.0,0.0916,0.0,87.5,16914.0
180,2020-07-04,1.22,220489.0,0.0935,0.0,87.5,16914.0
181,2020-07-05,1.22,223038.0,0.0955,0.0,87.5,20615.143
182,2020-07-06,1.22,224471.0,0.0973,0.0,87.5,20615.143
183,2020-07-07,1.21,228920.0,0.0979,0.0,87.5,20615.143
184,2020-07-08,1.21,235312.0,0.0987,0.0,87.5,20615.143
185,2020-07-09,1.21,240666.0,0.0999,0.0,87.5,20615.143
186,2020-07-10,1.22,246677.0,0.1,0.0,87.5,20615.143
187,2020-07-11,1.22,252410.0,0.0998,0.0,87.5,20615.143
188,2020-07-12,1.23,256870.0,0.1006,0.0,87.5,25198.286
189,2020-07-13,1.24,262371.0,0.1019,0.0,87.5,25198.286
190,2020-07-14,1.24,268773.0,0.103,0.0,87.5,25198.286
191,2020-07-15,1.25,276985.0,0.104,0.0,87.5,25198.286
192,2020-07-16,1.26,285523.0,0.1051,0.0,87.5,25198.286
193,2020-07-17,1.26,292604.0,0.1065,0.0,87.5,25198.286
194,2020-07-18,1.27,303820.0,0.1073,0.0,87.5,25198.286
195,2020-07-19,1.27,314959.0,0.1088,0.0,87.5,32580.714
196,2020-07-20,1.27,320236.0,0.1109,0.0,87.5,32580.714
197,2020-07-21,1.27,326971.0,0.1122,0.0,87.5,32580.714
198,2020-07-22,1.27,330269.0,0.1168,0.0,87.5,32580.714
199,2020-07-23,1.27,333697.0,0.1217,0.0,87.5,32580.714
200,2020-07-24,1.26,336493.0,0.1265,0.0,87.5,32580.714
201,2020-07-25,1.24,345047.0,0.1275,0.0,87.5,32580.714
202,2020-07-26,1.23,357066.0,0.127,0.0,87.5,43986.286
203,2020-07-27,1.22,394128.0,0.1177,0.0,87.5,43986.286
204,2020-07-28,1.21,421940.0,0.1146,0.0,87.5,43986.286
205,2020-07-29,1.19,431313.0,0.1137,0.0,87.5,43986.286
206,2020-07-30,1.18,445002.0,0.1113,0.0,87.5,43986.286
207,2020-07-31,1.18,486400.0,0.1054,0.0,87.5,43986.286
208,2020-08-01,1.16,501370.0,0.104,0.0,85.65,43986.286
209,2020-08-02,1.15,504357.0,0.1043,0.0,85.65,52171.571
210,2020-08-03,1.14,485151.0,0.1106,0.0,85.65,52171.571
211,2020-08-04,1.14,504266.0,0.1067,0.0,85.65,52171.571
212,2020-08-05,1.13,534380.0,0.1023,0.0,85.65,52171.571
213,2020-08-06,1.13,565567.0,0.0991,0.0,85.65,52171.571
214,2020-08-07,1.13,565060.0,0.0993,0.0,85.65,52171.571
215,2020-08-08,1.12,575502.0,0.0999,0.0,85.65,52171.571
216,2020-08-09,1.12,612101.0,0.096,0.0,85.65,57469.571
217,2020-08-10,1.11,625814.0,0.0943,0.0,85.65,57469.571
218,2020-08-11,1.1,631014.0,0.0954,0.0,85.65,57469.571
219,2020-08-12,1.09,647271.0,0.0954,0.0,85.65,57469.571
220,2020-08-13,1.08,670905.0,0.0924,0.0,85.65,57469.571
221,2020-08-14,1.07,700860.0,0.0891,0.0,85.65,57469.571
222,2020-08-15,1.07,739418.0,0.0844,0.0,85.65,57469.571
223,2020-08-16,1.06,743310.0,0.0831,0.0,85.65,62381.714
224,2020-08-17,1.07,779692.0,0.0795,0.0,85.65,62381.714
225,2020-08-18,1.07,808488.0,0.0773,0.0,85.65,62381.714
226,2020-08-19,1.07,818212.0,0.0769,0.0,85.65,62381.714
227,2020-08-20,1.07,830795.0,0.0765,0.0,85.65,62381.714
228,2020-08-21,1.07,824689.0,0.0779,0.0,85.65,62381.714
229,2020-08-22,1.07,846854.0,0.0768,0.0,85.65,62381.714
230,2020-08-23,1.07,854645.0,0.0767,0.0,85.65,65036.857
231,2020-08-24,1.08,837248.0,0.0793,0.0,85.65,65036.857
232,2020-08-25,1.08,840894.0,0.0777,0.0,85.65,65036.857
233,2020-08-26,1.1,844104.0,0.0801,0.0,85.65,65036.857
234,2020-08-27,1.11,845037.0,0.0814,0.0,85.65,65036.857
235,2020-08-28,1.11,858659.0,0.0812,0.0,85.65,65036.857
236,2020-08-29,1.11,845077.0,0.0842,0.0,85.65,65036.857
237,2020-08-30,1.11,881345.0,0.0835,0.0,85.65,71113.286
238,2020-08-31,1.11,915111.0,0.0818,0.0,85.65,71113.286
239,2020-09-01,1.11,928188.0,0.0839,0.0,81.94,71113.286
240,2020-09-02,1.11,955098.0,0.0812,0.0,81.94,71113.286
241,2020-09-03,1.11,990410.0,0.0792,0.0,81.94,71113.286
242,2020-09-04,1.11,1028757.0,0.0777,0.0,81.94,71113.286
243,2020-09-05,1.12,1047412.0,0.0779,0.0,81.94,71113.286
244,2020-09-06,1.12,1052787.0,0.0792,0.0,81.94,81582.571
245,2020-09-07,1.11,1034799.0,0.0813,0.0,76.39,81582.571
246,2020-09-08,1.11,1046471.0,0.082,0.0,76.39,81582.571
247,2020-09-09,1.1,1066782.0,0.082,0.0,76.39,81582.571
248,2020-09-10,1.1,1060722.0,0.0843,0.0,76.39,81582.571
249,2020-09-11,1.09,1059833.0,0.0858,0.0,76.39,81582.571
250,2020-09-12,1.08,1064391.0,0.086,0.0,76.39,81582.571
251,2020-09-13,1.07,1061398.0,0.0864,0.0,76.39,91506.429
252,2020-09-14,1.06,1098274.0,0.0845,0.0,76.39,91506.429
253,2020-09-15,1.05,1094592.0,0.0849,0.0,76.39,91506.429
254,2020-09-16,1.03,1089205.0,0.0856,0.0,76.39,91506.429
255,2020-09-17,1.02,1090185.0,0.0855,0.0,76.39,91506.429
256,2020-09-18,1.01,1067767.0,0.0867,0.0,76.39,91506.429
257,2020-09-19,1.0,1037861.0,0.089,0.0,76.39,91506.429
258,2020-09-20,0.99,1057162.0,0.0866,0.0,76.39,92323.286
259,2020-09-21,0.98,1021881.0,0.0884,0.0,70.83,92323.286
260,2020-09-22,0.97,1001929.0,0.0892,0.0,70.83,92323.286
261,2020-09-23,0.96,978621.0,0.0897,0.0,70.83,92323.286
262,2020-09-24,0.96,981472.0,0.0879,0.0,70.83,92323.286
263,2020-09-25,0.96,1050871.0,0.081,0.0,70.83,92323.286
264,2020-09-26,0.96,1116532.0,0.0757,0.0,70.83,92323.286
265,2020-09-27,0.96,1085254.0,0.0773,0.0,70.83,84559.0
266,2020-09-28,0.95,1082091.0,0.0769,0.0,70.83,84559.0
267,2020-09-29,0.95,1112037.0,0.0745,0.0,70.83,84559.0
268,2020-09-30,0.94,1131038.0,0.0733,0.0,70.83,84559.0
269,2020-10-01,0.94,1169107.0,0.0703,0.0,70.83,84559.0
270,2020-10-02,0.93,1112755.0,0.0731,0.0,70.83,84559.0
271,2020-10-03,0.92,1082918.0,0.0735,0.0,70.83,84559.0
272,2020-10-04,0.92,1104957.0,0.071,0.0,70.83,79548.714
273,2020-10-05,0.92,1145023.0,0.0673,0.0,70.83,79548.714
274,2020-10-06,0.92,1137394.0,0.0667,0.0,70.83,79548.714
275,2020-10-07,0.92,1153561.0,0.0648,0.0,70.83,79548.714
276,2020-10-08,0.91,1120885.0,0.0653,0.0,70.83,79548.714
277,2020-10-09,0.91,1130993.0,0.0639,0.0,70.83,79548.714
278,2020-10-10,0.91,1135471.0,0.0635,0.0,70.83,79548.714
279,2020-10-11,0.9,1126387.0,0.063,0.0,70.83,72061.857
280,2020-10-12,0.89,1127100.0,0.0622,0.0,70.83,72061.857
281,2020-10-13,0.89,1124759.0,0.0613,0.0,70.83,72061.857
282,2020-10-14,0.88,1116924.0,0.0603,0.0,70.83,72061.857
283,2020-10-15,0.88,1108619.0,0.0598,0.0,61.57,72061.857
284,2020-10-16,0.87,1088607.0,0.0595,0.0,61.57,72061.857
285,2020-10-17,0.87,1065046.0,0.0591,0.0,61.57,72061.857
286,2020-10-18,0.87,1049564.0,0.0585,0.0,61.57,62963.571
287,2020-10-19,0.86,1030269.0,0.0584,0.0,61.57,62963.571
288,2020-10-20,0.86,1024523.0,0.0574,0.0,61.57,62963.571
289,2020-10-21,0.85,1015751.0,0.0562,0.0,61.57,62963.571
290,2020-10-22,0.85,1063437.0,0.0525,0.0,61.57,62963.571
291,2020-10-23,0.85,1122594.0,0.0486,0.0,61.57,62963.571
292,2020-10-24,0.85,1161221.0,0.0456,0.0,61.57,62963.571
293,2020-10-25,0.85,1185611.0,0.0433,0.0,61.57,52894.286
294,2020-10-26,0.85,1196972.0,0.0417,0.0,61.57,52894.286
295,2020-10-27,0.86,1186303.0,0.0408,0.0,58.8,52894.286
296,2020-10-28,0.88,1183900.0,0.0402,0.0,58.8,52894.286
297,2020-10-29,0.89,1127582.0,0.0415,0.0,58.8,52894.286
298,2020-10-30,0.9,1087858.0,0.0423,0.0,58.8,52894.286
299,2020-10-31,0.91,1059071.0,0.0431,0.0,58.8,52894.286
300,2020-11-01,0.92,1051976.0,0.0434,0.0,58.8,45610.143
301,2020-11-02,0.93,1040046.0,0.0441,0.0,58.8,45610.143
302,2020-11-03,0.94,1052637.0,0.0439,0.0,58.8,45610.143
303,2020-11-04,0.94,1073040.0,0.0431,0.0,58.8,45610.143
304,2020-11-05,0.95,1092135.0,0.0422,0.0,58.8,45610.143
305,2020-11-06,0.95,1100144.0,0.0422,0.0,58.8,45610.143
306,2020-11-07,0.95,1106606.0,0.0418,0.0,58.8,45610.143
307,2020-11-08,0.95,1121355.0,0.0413,0.0,58.8,46238.857
308,2020-11-09,0.95,1118441.0,0.0414,0.0,58.8,46238.857
309,2020-11-10,0.94,1118072.0,0.0412,0.0,58.8,46238.857
310,2020-11-11,0.94,1110027.0,0.0412,0.0,58.8,46238.857
311,2020-11-12,0.93,1107732.0,0.0409,0.0,58.8,46238.857
312,2020-11-13,0.92,1096092.0,0.0406,0.0,58.8,46238.857
313,2020-11-14,0.91,1069847.0,0.041,0.0,58.8,46238.857
314,2020-11-15,0.91,1014290.0,0.0411,0.0,58.8,43832.143
315,2020-11-16,0.92,1018048.0,0.0397,0.0,58.8,43832.143
316,2020-11-17,0.95,989579.0,0.04,0.0,58.8,43832.143
317,2020-11-18,0.97,958719.0,0.0409,0.0,58.8,43832.143
318,2020-11-19,0.99,935126.0,0.0421,0.0,58.8,43832.143
319,2020-11-20,1.0,927150.0,0.0427,0.0,58.8,43832.143
320,2020-11-21,1.0,946654.0,0.0424,0.0,66.2,43832.143
321,2020-11-22,1.0,985188.0,0.0427,0.0,66.2,40175.286
322,2020-11-23,1.0,983458.0,0.0441,0.0,66.2,40175.286
323,2020-11-24,0.99,1019910.0,0.0433,0.0,66.2,40175.286
324,2020-11-25,0.98,1051589.0,0.0419,0.0,66.2,40175.286
325,2020-11-26,0.96,1060451.0,0.0411,0.0,66.2,40175.286
326,2020-11-27,0.95,1067280.0,0.0402,0.0,66.2,40175.286
327,2020-11-28,0.94,1080364.0,0.0393,0.0,66.2,40175.286
328,2020-11-29,0.93,1110096.0,0.0376,0.0,66.2,42444.714
329,2020-11-30,0.92,1113892.0,0.0365,0.0,66.2,42444.714
330,2020-12-01,0.9,1095289.0,0.0362,0.0,66.2,42444.714
331,2020-12-02,0.89,1086377.0,0.0353,0.0,66.2,42444.714
332,2020-12-03,0.89,1089443.0,0.0343,0.0,66.2,42444.714
333,2020-12-04,0.89,1095000.0,0.0335,0.0,66.2,42444.714
334,2020-12-05,0.88,1095023.0,0.0328,0.0,66.2,42444.714
335,2020-12-06,0.88,1068967.0,0.0328,0.0,66.2,35900.429
336,2020-12-07,0.87,1058240.0,0.0325,0.0,66.2,35900.429
337,2020-12-08,0.86,1066394.0,0.0317,0.0,66.2,35900.429
338,2020-12-09,0.86,1055831.0,0.0314,0.0,66.2,35900.429
339,2020-12-10,0.85,1028868.0,0.0313,0.0,66.2,35900.429
340,2020-12-11,0.85,1000116.0,0.0312,0.0,66.2,35900.429
341,2020-12-12,0.84,973127.0,0.0312,0.0,66.2,35900.429
342,2020-12-13,0.84,960751.0,0.0308,0.0,66.2,30401.0
343,2020-12-14,0.84,968476.0,0.0299,0.0,66.2,30401.0
344,2020-12-15,0.83,963800.0,0.0292,0.0,66.2,30401.0
345,2020-12-16,0.83,972788.0,0.0278,0.0,66.2,30401.0
346,2020-12-17,0.83,1006502.0,0.0259,0.0,66.2,30401.0
347,2020-12-18,0.85,1027155.0,0.0247,0.0,66.2,30401.0
348,2020-12-19,0.86,1056159.0,0.0236,0.0,66.2,30401.0
349,2020-12-20,0.86,1069480.0,0.0229,0.0,66.2,24884.857
350,2020-12-21,0.87,1075906.0,0.0224,0.0,66.2,24884.857
351,2020-12-22,0.87,1087129.0,0.0219,0.0,66.2,24884.857
352,2020-12-23,0.86,1088920.0,0.0219,0.0,66.2,24884.857
353,2020-12-24,0.86,1071875.0,0.0223,0.0,66.2,24884.857
354,2020-12-25,0.86,1055302.0,0.0223,0.0,66.2,24884.857
355,2020-12-26,0.84,1009825.0,0.0222,0.0,66.2,24884.857
356,2020-12-27,0.85,986352.0,0.0221,0.0,66.2,22375.286
357,2020-12-28,0.86,959961.0,0.0222,0.0,66.2,22375.286
358,2020-12-29,0.87,947313.0,0.022,0.0,66.2,22375.286
359,2020-12-30,0.87,950473.0,0.0215,0.0,66.2,22375.286
